label,"dur_prob,",staff position,ymin,xmin,ymax,xmax,classes_and_prob,correct_staff,foreground
c clef,0.731934,9,538,151,588,168,[0.99],"[516, 521, 526, 531, 535, 540, 545, 550, 556, 561, 566, 571, 576, 581, 586]",136.0
flat,0.744141,3,508,160,541,174,"[['3', 0.99999], ['12', 8.418048e-06], ['5', 1.1569063e-06]]","[516, 521, 526, 531, 535, 540, 546, 551, 556, 561, 566, 571, 576, 581, 586]",161.0
flat,0.787598,10,544,164,580,175,"[['10', 0.99946016], ['11', 0.00053946476], ['7', 3.001464e-07]]","[515, 520, 525, 530, 534, 539, 544, 549, 555, 560, 564, 569, 574, 579, 584]",163.0
minim,0.842773,3,513,175,573,193,"[['3', 0.9999999], ['8', 1.4458486e-07], ['1', 6.6788886e-09]]","[515, 520, 525, 530, 534, 539, 546, 551, 555, 560, 566, 571, 576, 581, 586]",144.0
semibreve,0.782227,4,515,196,551,217,"[['4', 0.9953412], ['5', 0.0046584993], ['1', 2.118395e-07]]","[516, 521, 526, 531, 535, 540, 546, 551, 555, 560, 566, 571, 576, 581, 586]",143.0
semibreve,0.790527,5,523,214,559,236,"[['5', 1.0], ['6', 2.4230498e-11], ['4', 2.805958e-13]]","[516, 521, 526, 531, 535, 540, 546, 551, 556, 561, 566, 571, 576, 581, 586]",142.0
minim,0.847168,6,527,238,589,258,"[['6', 0.9999145], ['7', 5.0674356e-05], ['12', 3.2807744e-05]]","[515, 520, 525, 530, 535, 540, 546, 551, 557, 562, 567, 572, 577, 582, 587]",148.0
flat,0.76123,7,525,257,565,273,"[['7', 0.99998116], ['12', 9.8568635e-06], ['6', 6.4422006e-06]]","[517, 522, 527, 532, 536, 541, 547, 552, 558, 563, 568, 573, 578, 583, 588]",163.0
semibreve,0.867188,8,534,274,576,297,"[['8', 0.9995271], ['7', 0.0004729383], ['4', 2.387042e-10]]","[516, 521, 526, 531, 537, 542, 547, 552, 558, 563, 568, 573, 578, 583, 588]",158.0
semibreve,0.870117,8,540,297,578,321,"[['8', 0.9999999], ['9', 1.7064438e-07], ['7', 7.693587e-13]]","[517, 522, 527, 532, 537, 542, 549, 554, 559, 564, 569, 574, 579, 584, 589]",152.0
semibreve,0.805664,8,537,322,575,344,"[['8', 0.9954165], ['7', 0.0045834742], ['9', 1.0643083e-08]]","[519, 524, 529, 534, 538, 543, 549, 554, 559, 564, 569, 574, 579, 584, 589]",155.0
point,0.111023,,536,330,576,345,[],"[520, 525, 530, 535, 539, 544, 550, 555, 560, 565, 570, 575, 580, 585, 590]",153.0
point,0.800293,,539,337,561,354,[],"[520, 525, 530, 535, 539, 544, 550, 555, 560, 565, 570, 575, 580, 585, 590]",157.0
minim,0.871094,8,519,354,579,375,"[['8', 0.999936], ['9', 4.1536387e-05], ['7', 2.0787324e-05]]","[520, 525, 530, 535, 539, 544, 550, 555, 561, 566, 571, 576, 581, 586, 591]",155.0
minim,0.862305,9,524,378,586,399,"[['9', 0.74348795], ['3', 0.13307153], ['10', 0.09384985]]","[521, 526, 531, 536, 540, 545, 550, 555, 561, 566, 571, 576, 581, 586, 591]",158.0
minim,0.874023,11,528,402,590,423,"[['11', 0.95876795], ['10', 0.041230258], ['12', 1.6626308e-06]]","[522, 527, 532, 537, 541, 546, 552, 557, 562, 567, 572, 577, 582, 587, 592]",153.0
semibreve,0.850586,7,538,424,578,449,"[['7', 0.9991425], ['8', 0.0008575031], ['4', 5.303359e-09]]","[521, 526, 531, 536, 541, 546, 552, 557, 563, 568, 572, 577, 582, 587, 592]",155.0
fermata,0.412598,,523,452,555,480,[],"[523, 528, 533, 538, 542, 547, 553, 558, 563, 568, 573, 578, 583, 588, 593]",168.0
fermata,0.412598,,523,452,555,480,[],"[524, 529, 534, 539, 544, 549, 554, 559, 564, 569, 574, 579, 584, 589, 594]",166.0
longa,0.596191,8,543,452,597,480,"[['8', 0.99999976], ['9', 2.0626027e-07], ['7', 3.0314525e-17]]","[524, 529, 534, 539, 544, 549, 554, 559, 564, 569, 574, 579, 584, 589, 594]",172.0
barline,0.823242,,525,478,595,496,[],"[524, 529, 534, 539, 544, 549, 554, 559, 564, 569, 574, 579, 584, 589, 594]",159.0
colored semibreve,0.355713,10,543,603,591,624,"[['10', 0.9485486], ['9', 0.051396925], ['2', 2.4641433e-05]]","[523, 528, 533, 538, 543, 548, 555, 560, 565, 570, 574, 579, 584, 589, 594]",168.0
