label,"dur_prob,",staff position,ymin,xmin,ymax,xmax,classes_and_prob,correct_staff,foreground
c clef,0.778809,7,1036,325,1096,345,[0.99],"[1019, 1024, 1030, 1035, 1042, 1047, 1053, 1058, 1065, 1070, 1075, 1080, 1085, 1091, 1096]",146.0
flat,0.738281,3,1016,340,1047,354,"[['3', 0.98433137], ['4', 0.013104138], ['5', 0.0025484844]]","[1019, 1024, 1030, 1035, 1040, 1045, 1053, 1058, 1064, 1069, 1076, 1081, 1086, 1092, 1097]",173.0
flat,0.75,7,1049,341,1089,354,"[['7', 0.5307002], ['13', 0.2374081], ['14', 0.23154083]]","[1019, 1024, 1030, 1035, 1040, 1045, 1053, 1058, 1065, 1070, 1074, 1079, 1084, 1090, 1095]",150.0
semibreve,0.652344,1,1040,355,1071,377,"[['1', 0.96074176], ['2', 0.033905074], ['8', 0.0032792]]","[1019, 1024, 1030, 1035, 1042, 1047, 1053, 1058, 1064, 1069, 1074, 1079, 1084, 1090, 1095]",140.0
breve,0.766602,7,1066,357,1097,382,"[['7', 0.5274922], ['12', 0.47249773], ['9', 6.0989078e-06]]","[1019, 1024, 1030, 1035, 1042, 1047, 1053, 1058, 1064, 1069, 1074, 1079, 1084, 1090, 1095]",141.0
minim rest,0.668945,,1029,380,1092,392,[],"[1019, 1024, 1030, 1035, 1042, 1047, 1053, 1058, 1064, 1069, 1074, 1079, 1084, 1090, 1095]",162.0
fermata,0.13208,,1015,382,1044,404,[],"[1019, 1024, 1030, 1035, 1042, 1047, 1053, 1058, 1064, 1069, 1074, 1079, 1084, 1090, 1095]",148.0
fermata,0.13208,,1015,382,1044,404,[],"[1019, 1024, 1030, 1035, 1042, 1047, 1053, 1058, 1064, 1069, 1074, 1079, 1084, 1090, 1095]",148.0
minim,0.80957,8,1024,399,1080,419,"[['8', 0.99944514], ['9', 0.00035520963], ['3', 0.00018251593]]","[1019, 1024, 1030, 1035, 1042, 1047, 1052, 1057, 1064, 1069, 1073, 1078, 1083, 1089, 1094]",145.0
minim,0.832031,8,1023,421,1080,444,"[['8', 0.8669366], ['3', 0.11890496], ['7', 0.013681269]]","[1019, 1024, 1030, 1035, 1041, 1046, 1053, 1058, 1064, 1069, 1073, 1078, 1083, 1089, 1094]",139.0
minim,0.813965,6,1032,448,1094,466,"[['6', 0.99999475], ['7', 3.909115e-06], ['12', 1.0901066e-06]]","[1019, 1024, 1030, 1035, 1041, 1046, 1053, 1058, 1064, 1069, 1073, 1078, 1083, 1089, 1094]",143.0
point,0.844238,,1042,459,1062,474,[],"[1019, 1024, 1030, 1035, 1039, 1044, 1052, 1057, 1063, 1068, 1074, 1079, 1084, 1090, 1095]",131.0
point,0.844238,,1042,459,1062,474,[],"[1019, 1024, 1030, 1035, 1039, 1044, 1052, 1057, 1063, 1068, 1074, 1079, 1084, 1090, 1095]",131.0
semiminim,0.823242,7,1021,474,1079,493,"[['7', 0.9999989], ['8', 1.1033598e-06], ['6', 8.377399e-10]]","[1019, 1024, 1030, 1035, 1041, 1046, 1053, 1058, 1063, 1068, 1074, 1079, 1084, 1090, 1095]",139.0
