label,"dur_prob,",staff position,ymin,xmin,ymax,xmax,classes_and_prob,correct_staff,foreground
g clef,0.474609,9,760,199,828,229,[1.0],"[742, 748, 754, 760, 767, 773, 779, 785, 791, 797, 804, 810, 816, 822, 828]",154.0
fermata,0.186768,,744,218,775,242,[],"[742, 748, 754, 760, 767, 773, 779, 785, 791, 797, 804, 810, 816, 822, 828]",160.0
fermata,0.186768,,744,218,775,242,[],"[742, 748, 754, 760, 767, 773, 779, 785, 791, 797, 804, 810, 816, 822, 828]",160.0
c clef,0.824707,11,771,232,823,255,[0.99],"[742, 748, 754, 760, 767, 773, 779, 785, 791, 797, 804, 810, 816, 822, 828]",143.0
Imin,1.0,,763,252,806,282,[],"[742, 748, 754, 760, 767, 773, 779, 785, 791, 797, 804, 810, 816, 822, 828]",145.0
longa rest,0.750977,,751,285,821,298,[],"[742, 748, 754, 760, 767, 773, 779, 785, 791, 797, 804, 810, 816, 822, 828]",142.0
breve rest,0.750977,,753,297,822,311,[],"[742, 748, 754, 760, 767, 773, 779, 785, 791, 797, 804, 810, 816, 822, 828]",122.0
c clef,0.670898,11,769,329,826,353,[0.99],"[742, 748, 754, 760, 767, 773, 779, 785, 791, 797, 804, 810, 816, 822, 828]",134.0
Imin,0.813477,,776,347,815,376,[],"[742, 748, 754, 760, 767, 773, 779, 785, 791, 797, 804, 810, 816, 822, 828]",140.0
point,1.0,,784,382,824,404,[],"[742, 748, 754, 760, 767, 773, 779, 785, 791, 797, 804, 810, 816, 822, 828]",142.0
semibreve,0.831055,10,784,383,823,405,"[['10', 1.0], ['11', 1.2311301e-13], ['9', 1.0055543e-15]]","[742, 748, 754, 760, 767, 773, 779, 785, 791, 797, 804, 810, 816, 822, 828]",142.0
point,0.239258,,793,396,814,414,[],"[742, 748, 754, 760, 767, 773, 779, 785, 791, 797, 804, 810, 816, 822, 828]",136.0
minim,0.85791,10,761,413,821,433,"[['10', 0.999067], ['11', 0.0008990933], ['9', 2.4512952e-05]]","[742, 748, 754, 760, 767, 773, 779, 785, 791, 797, 804, 810, 816, 822, 828]",141.0
