label,"dur_prob,",staff position,ymin,xmin,ymax,xmax,classes_and_prob,correct_staff,foreground
c clef,0.815918,11,267,460,312,479,[0.99],"[311, 320, 329, 338, 347, 356, 366, 375, 383, 392, 400, 409, 418, 427, 436]",143.0
flat,0.738281,5,220,465,267,480,"[['5', 0.9999999], ['11', 6.3806205e-08], ['4', 4.7410417e-08]]","[311, 320, 329, 338, 347, 356, 367, 376, 383, 392, 400, 409, 418, 427, 436]",173.0
semibreve,0.861816,8,252,482,292,500,"[['8', 1.0], ['9', 2.9366128e-12], ['7', 1.3152873e-12]]","[312, 321, 330, 339, 347, 356, 365, 374, 383, 392, 400, 409, 418, 427, 436]",153.0
minim,0.833496,9,232,499,297,515,"[['9', 1.0], ['8', 1.4436902e-08], ['10', 2.7418265e-09]]","[312, 321, 330, 339, 347, 356, 365, 374, 383, 392, 402, 411, 420, 429, 438]",144.0
longa,0.82666,8,254,514,310,532,"[['8', 1.0], ['7', 1.1438378e-13], ['9', 3.2563216e-17]]","[311, 320, 329, 338, 347, 356, 365, 374, 383, 392, 402, 411, 420, 429, 438]",149.0
breve rest,0.530273,,240,530,295,542,[],"[312, 321, 330, 339, 347, 356, 365, 374, 383, 392, 402, 411, 420, 429, 438]",145.0
semibreve rest,0.533203,,235,539,300,549,[],"[312, 321, 330, 339, 347, 356, 365, 374, 383, 392, 402, 411, 420, 429, 438]",143.0
semibreve,0.825195,8,250,545,294,567,"[['8', 1.0], ['7', 2.8024336e-09], ['9', 4.188764e-11]]","[312, 321, 330, 339, 347, 356, 365, 374, 383, 392, 402, 411, 420, 429, 438]",151.0
semibreve,0.855957,4,225,562,265,582,"[['4', 1.0], ['5', 1.0148794e-09], ['3', 8.99596e-11]]","[312, 321, 330, 339, 347, 356, 365, 374, 383, 392, 402, 411, 420, 429, 438]",155.0
semibreve,0.843262,4,224,580,267,600,"[['4', 0.99999964], ['5', 3.7736757e-07], ['3', 7.457178e-09]]","[311, 320, 329, 338, 347, 356, 365, 374, 383, 392, 400, 409, 418, 427, 436]",154.0
semibreve,0.823242,3,220,599,260,619,"[['3', 1.0], ['4', 1.6672018e-11], ['2', 1.6048681e-15]]","[311, 320, 329, 338, 347, 356, 365, 374, 382, 391, 400, 409, 418, 427, 436]",147.0
semibreve,0.842773,3,220,615,260,634,"[['3', 1.0], ['4', 3.5728178e-13], ['2', 7.7905965e-15]]","[311, 320, 329, 338, 346, 355, 364, 373, 382, 391, 400, 409, 418, 427, 436]",147.0
semibreve,0.76709,4,224,632,267,650,"[['4', 0.99997604], ['5', 2.2166265e-05], ['3', 1.1779966e-06]]","[311, 320, 329, 338, 346, 355, 364, 373, 382, 391, 400, 409, 418, 427, 436]",161.0
point,0.805176,,235,645,254,659,[],"[309, 318, 327, 336, 346, 355, 363, 372, 382, 391, 400, 409, 418, 427, 436]",149.0
point,0.805176,,235,645,254,659,[],"[309, 318, 327, 336, 346, 355, 362, 371, 381, 390, 399, 408, 417, 426, 435]",149.0
semiminim,0.869141,5,234,655,299,670,"[['5', 1.0], ['11', 4.7671225e-11], ['6', 6.5636923e-12]]","[309, 318, 327, 336, 346, 355, 362, 371, 381, 390, 399, 408, 417, 426, 435]",139.0
semiminim,0.848633,6,239,669,302,685,"[['6', 1.0], ['5', 1.8435871e-08], ['12', 2.245987e-11]]","[309, 318, 327, 336, 346, 355, 362, 371, 381, 390, 399, 408, 417, 426, 435]",143.0
minim,0.847168,5,232,685,297,702,"[['5', 1.0], ['4', 2.1156299e-13], ['11', 1.2166198e-13]]","[309, 318, 327, 336, 344, 353, 360, 369, 381, 390, 399, 408, 417, 426, 435]",148.0
semiminim,0.859863,6,217,704,277,720,"[['6', 1.0], ['5', 1.9066328e-10], ['12', 3.1153086e-14]]","[308, 317, 326, 335, 344, 353, 362, 371, 381, 390, 397, 406, 415, 424, 433]",136.0
semiminim,0.863281,7,220,719,284,735,"[['7', 0.9999999], ['6', 6.087595e-08], ['8', 2.187969e-12]]","[308, 317, 326, 335, 344, 353, 361, 370, 379, 388, 395, 404, 413, 422, 431]",137.0
semibreve,0.856934,8,250,735,292,755,"[['8', 1.0], ['7', 6.0444216e-10], ['9', 2.6837976e-10]]","[308, 317, 326, 335, 343, 352, 361, 370, 379, 388, 397, 406, 415, 424, 433]",153.0
semibreve,0.84375,7,240,752,282,772,"[['7', 0.99999225], ['1', 7.1039844e-06], ['6', 4.9045457e-07]]","[307, 316, 325, 334, 343, 352, 361, 370, 379, 388, 396, 405, 414, 423, 432]",147.0
semibreve,0.812988,6,232,770,277,790,"[['6', 0.999995], ['7', 5.0636277e-06], ['0', 8.546652e-10]]","[307, 316, 325, 334, 343, 352, 361, 370, 379, 388, 397, 406, 415, 424, 433]",153.0
point,0.309326,,234,770,275,792,[],"[307, 316, 325, 334, 343, 352, 360, 369, 379, 388, 397, 406, 415, 424, 433]",153.0
custos,0.119812,,267,774,300,797,[],"[307, 316, 325, 334, 343, 352, 360, 369, 379, 388, 397, 406, 415, 424, 433]",185.0
point,0.85498,,244,782,265,797,[],"[307, 316, 325, 334, 343, 352, 360, 369, 378, 387, 396, 405, 414, 423, 432]",148.0
point,0.85498,,244,782,265,797,[],"[307, 316, 325, 334, 343, 352, 360, 369, 378, 387, 396, 405, 414, 423, 432]",148.0
semiminim,0.86377,7,220,795,284,812,"[['7', 1.0], ['6', 7.8561345e-11], ['8', 5.5083943e-13]]","[307, 316, 325, 334, 343, 352, 360, 369, 378, 387, 396, 405, 414, 423, 432]",131.0
semiminim,0.861816,8,225,810,292,827,"[['8', 1.0], ['9', 1.8911639e-10], ['7', 1.9948036e-12]]","[307, 316, 325, 334, 341, 350, 359, 368, 378, 387, 396, 405, 414, 423, 432]",133.0
semibreve,0.834473,7,240,827,284,847,"[['7', 1.0], ['6', 4.0999556e-08], ['3', 1.8434955e-08]]","[307, 316, 325, 334, 341, 350, 360, 369, 378, 387, 396, 405, 414, 423, 432]",141.0
longa,0.741211,6,237,847,305,867,"[['6', 1.0], ['7', 2.9973707e-13], ['5', 2.051954e-14]]","[305, 314, 323, 332, 341, 350, 360, 369, 376, 385, 395, 404, 413, 422, 431]",142.0
semibreve rest,0.370361,,227,864,295,875,[],"[305, 314, 323, 332, 341, 350, 359, 368, 376, 385, 395, 404, 413, 422, 431]",138.0
breve,0.825684,6,237,870,272,894,"[['6', 1.0], ['7', 4.278834e-14], ['5', 2.793153e-17]]","[305, 314, 323, 332, 341, 350, 358, 367, 376, 385, 395, 404, 413, 422, 431]",149.0
semibreve,0.818359,6,235,892,277,910,"[['6', 1.0], ['7', 4.9324975e-09], ['5', 3.1318045e-11]]","[305, 314, 323, 332, 341, 350, 358, 367, 376, 385, 395, 404, 413, 422, 431]",127.0
point,0.282715,,237,902,260,919,[],"[305, 314, 323, 332, 341, 350, 358, 367, 376, 385, 395, 404, 413, 422, 431]",126.0
custos,0.513184,,230,904,262,927,[],"[305, 314, 323, 332, 341, 350, 359, 368, 378, 387, 395, 404, 413, 422, 431]",125.0
