label,"dur_prob,",staff position,ymin,xmin,ymax,xmax,classes_and_prob,correct_staff,foreground
c clef,0.80127,3,269,124,329,146,[0.99],"[256, 262, 268, 274, 282, 288, 294, 300, 304, 310, 318, 324, 330, 336, 342]",157.0
minim,0.819336,11,285,140,343,158,"[['11', 0.9174234], ['12', 0.07016342], ['5', 0.00484258]]","[256, 262, 268, 274, 282, 288, 293, 299, 304, 310, 318, 324, 330, 336, 342]",150.0
minim,0.824707,11,277,155,336,172,"[['11', 0.90647995], ['10', 0.093444735], ['12', 4.9016617e-05]]","[256, 262, 268, 274, 281, 287, 294, 300, 306, 312, 318, 324, 330, 336, 342]",156.0
minim,0.855469,11,282,169,342,186,"[['11', 1.0], ['12', 4.8218336e-08], ['10', 1.0441977e-12]]","[257, 263, 269, 275, 282, 288, 294, 300, 306, 312, 319, 325, 331, 337, 343]",148.0
minim,0.834473,10,278,185,339,203,"[['10', 0.9996799], ['11', 0.00021442052], ['9', 5.9754326e-05]]","[257, 263, 269, 275, 282, 288, 294, 300, 306, 312, 319, 325, 331, 337, 343]",153.0
point,0.753906,,307,197,328,212,[],"[257, 263, 269, 275, 282, 288, 294, 300, 306, 312, 319, 325, 331, 337, 343]",146.0
semiminim,0.855957,9,271,207,332,225,"[['9', 0.9999515], ['10', 4.7290563e-05], ['8', 1.1403619e-06]]","[257, 263, 269, 275, 281, 287, 294, 300, 306, 312, 318, 324, 330, 336, 342]",145.0
semibreve,0.82959,8,286,222,321,240,"[['8', 1.0], ['7', 4.4948816e-11], ['4', 2.8275746e-11]]","[257, 263, 269, 275, 282, 288, 294, 300, 306, 312, 318, 324, 330, 336, 342]",156.0
semiminim,0.848633,9,270,238,329,255,"[['9', 1.0], ['10', 1.1151623e-10], ['8', 7.5540324e-11]]","[257, 263, 269, 275, 282, 288, 293, 299, 305, 311, 318, 324, 330, 336, 342]",147.0
semiminim,0.869141,10,276,254,334,271,"[['10', 1.0], ['11', 6.938114e-09], ['9', 6.113945e-10]]","[257, 263, 269, 275, 281, 287, 293, 299, 305, 311, 318, 324, 330, 336, 342]",148.0
semibreve,0.82959,10,300,270,334,290,"[['10', 1.0], ['11', 1.1015201e-15], ['9', 1.2471279e-17]]","[257, 263, 269, 275, 281, 287, 293, 299, 305, 311, 318, 324, 330, 336, 342]",159.0
semibreve,0.82959,6,275,285,310,305,"[['6', 1.0], ['5', 3.2653173e-08], ['7', 2.01274e-08]]","[257, 263, 269, 275, 281, 287, 293, 299, 305, 311, 318, 324, 330, 336, 342]",152.0
semibreve,0.757324,8,288,299,323,317,"[['8', 1.0], ['7', 1.3738455e-11], ['1', 3.1533736e-13]]","[257, 263, 269, 275, 281, 287, 293, 299, 305, 311, 318, 324, 330, 336, 342]",155.0
semibreve,0.741699,12,274,315,331,332,"[['12', 0.5290789], ['3', 0.1342708], ['11', 0.07476333]]","[257, 263, 269, 275, 281, 287, 293, 299, 305, 311, 317, 323, 329, 335, 341]",140.0
semibreve,0.695312,2,280,330,305,348,"[['2', 0.68574375], ['6', 0.3018215], ['7', 0.010937367]]","[257, 263, 269, 275, 281, 287, 293, 299, 305, 311, 317, 323, 329, 335, 341]",156.0
barline,0.746582,,262,344,335,363,[],"[256, 262, 268, 274, 281, 287, 293, 299, 305, 311, 318, 324, 330, 336, 342]",146.0
Imincut,0.654297,,269,360,329,384,[],"[256, 262, 268, 274, 281, 287, 293, 299, 305, 311, 318, 324, 330, 336, 342]",144.0
breve,0.649902,8,290,379,317,399,"[['8', 1.0], ['9', 1.5901248e-10], ['7', 2.491901e-19]]","[255, 261, 267, 273, 280, 286, 293, 299, 305, 311, 318, 324, 330, 336, 342]",172.0
minim,0.827148,9,270,397,328,416,"[['9', 0.9999962], ['3', 3.6075962e-06], ['2', 2.6754148e-07]]","[255, 261, 267, 273, 280, 286, 292, 298, 304, 310, 317, 323, 329, 335, 341]",156.0
minim,0.853516,10,274,413,334,431,"[['10', 0.9999999], ['11', 7.843764e-08], ['9', 1.6109389e-09]]","[256, 262, 268, 274, 280, 286, 293, 299, 304, 310, 317, 323, 329, 335, 341]",151.0
semibreve,0.837891,9,291,429,328,448,"[['9', 1.0], ['10', 1.7188996e-09], ['13', 3.5033842e-14]]","[256, 262, 268, 274, 280, 286, 293, 299, 305, 311, 317, 323, 329, 335, 341]",151.0
minim,0.829102,10,274,446,335,465,"[['10', 0.9999709], ['11', 2.7501717e-05], ['9', 1.4579839e-06]]","[255, 261, 267, 273, 280, 286, 292, 298, 304, 310, 317, 323, 329, 335, 341]",158.0
minim,0.818359,3,259,462,317,480,"[['3', 0.99973994], ['7', 0.0001611105], ['8', 9.783846e-05]]","[255, 261, 267, 273, 280, 286, 292, 298, 304, 310, 317, 323, 329, 335, 341]",155.0
point,0.760254,,260,472,277,485,[],"[255, 261, 267, 273, 280, 286, 292, 298, 304, 310, 317, 323, 329, 335, 341]",156.0
semiminim,0.86377,4,263,481,323,497,"[['4', 1.0], ['3', 2.8467863e-14], ['5', 3.3673774e-15]]","[256, 262, 268, 274, 280, 286, 292, 298, 304, 310, 317, 323, 329, 335, 341]",142.0
minim,0.832031,5,248,497,304,514,"[['5', 1.0], ['6', 1.1421128e-10], ['11', 6.614824e-14]]","[256, 262, 268, 274, 280, 286, 292, 298, 304, 310, 317, 323, 329, 335, 341]",155.0
minim,0.844238,6,253,512,311,531,"[['6', 1.0], ['5', 1.0493429e-08], ['12', 2.1178537e-10]]","[255, 261, 267, 273, 280, 286, 292, 298, 304, 310, 317, 323, 329, 335, 341]",161.0
minim,0.811035,5,250,531,303,548,"[['5', 1.0], ['6', 5.4907305e-09], ['11', 7.005733e-13]]","[255, 261, 267, 273, 280, 286, 292, 298, 304, 310, 317, 323, 329, 335, 341]",160.0
point,0.345215,,255,532,301,549,[],"[256, 262, 268, 274, 280, 286, 293, 299, 305, 311, 317, 323, 329, 335, 341]",156.0
point,0.78125,,272,541,290,555,[],"[256, 262, 268, 274, 280, 286, 293, 299, 305, 311, 318, 324, 330, 336, 342]",162.0
semiminim,0.75293,7,258,549,318,564,"[['7', 1.0], ['8', 1.3904794e-12], ['6', 4.3411374e-14]]","[256, 262, 268, 274, 281, 287, 293, 299, 305, 311, 318, 324, 330, 336, 342]",148.0
minim,0.810059,6,254,564,311,582,"[['6', 1.0], ['7', 1.9500852e-08], ['12', 1.1778916e-09]]","[256, 262, 268, 274, 281, 287, 293, 299, 305, 311, 318, 324, 330, 336, 342]",149.0
