label,"dur_prob,",staff position,ymin,xmin,ymax,xmax,classes_and_prob,correct_staff,foreground
c clef,0.790039,11,583,186,631,209,[0.99],"[545, 551, 558, 564, 572, 578, 584, 590, 596, 602, 609, 615, 621, 628, 634]",155.0
minim,0.855469,6,542,207,604,227,"[['6', 1.0], ['7', 2.066584e-11], ['12', 7.347432e-14]]","[545, 551, 558, 564, 572, 578, 584, 590, 596, 602, 609, 615, 621, 628, 634]",154.0
point,0.251465,,561,213,596,231,[],"[546, 552, 559, 565, 571, 577, 584, 590, 596, 602, 609, 615, 621, 628, 634]",153.0
point,0.774902,,570,220,592,236,[],"[546, 552, 559, 565, 571, 577, 584, 590, 596, 602, 609, 615, 621, 628, 634]",149.0
semiminim,0.166626,5,567,222,595,237,"[['5', 0.99882776], ['0', 0.0006436201], ['6', 0.00040429574]]","[546, 552, 559, 565, 571, 577, 584, 590, 596, 602, 609, 615, 621, 628, 634]",155.0
point,0.149048,,565,224,595,238,[],"[546, 552, 559, 565, 571, 577, 584, 590, 596, 602, 609, 615, 621, 628, 634]",155.0
semiminim,0.805176,7,547,233,610,250,"[['7', 1.0], ['6', 9.2518465e-11], ['8', 2.967662e-11]]","[546, 552, 559, 565, 571, 577, 584, 590, 596, 602, 609, 615, 621, 628, 634]",147.0
semiminim,0.871094,6,545,251,603,269,"[['6', 1.0], ['5', 9.2172714e-11], ['7', 1.7243965e-13]]","[545, 551, 558, 564, 571, 577, 584, 590, 596, 602, 609, 615, 621, 628, 634]",142.0
semiminim,0.851074,5,542,271,597,289,"[['5', 1.0], ['6', 3.6166727e-12], ['11', 4.73463e-14]]","[545, 551, 558, 564, 571, 577, 583, 589, 596, 602, 608, 614, 620, 627, 633]",143.0
semibreve,0.858887,4,552,291,591,313,"[['4', 1.0], ['5', 4.2431423e-09], ['1', 5.0419196e-14]]","[545, 551, 558, 564, 571, 577, 583, 589, 595, 601, 608, 614, 620, 627, 633]",152.0
semiminim,0.865234,5,542,314,597,333,"[['5', 1.0], ['6', 2.5390065e-10], ['11', 2.0713569e-13]]","[545, 551, 558, 564, 571, 577, 583, 589, 595, 601, 608, 614, 620, 627, 633]",145.0
semiminim,0.869141,6,545,335,601,352,"[['6', 1.0], ['5', 1.2965929e-09], ['7', 3.6079313e-11]]","[545, 551, 558, 564, 571, 577, 583, 589, 595, 601, 608, 614, 620, 627, 633]",140.0
