label,"dur_prob,",staff position,ymin,xmin,ymax,xmax,classes_and_prob,correct_staff,foreground
semibreve,0.747559,5,449,714,491,732,"[['5', 0.98285216], ['6', 0.016960004], ['1', 0.000122063175]]","[447, 453, 460, 466, 473, 479, 485, 491, 497, 503, 510, 516, 522, 529, 535]",144.0
semibreve,0.788574,5,461,728,485,746,"[['5', 0.96395254], ['1', 0.020957593], ['4', 0.014136427]]","[447, 453, 460, 466, 472, 478, 485, 491, 497, 503, 510, 516, 522, 529, 535]",161.0
point,0.868652,,461,741,479,754,[],"[446, 452, 459, 465, 469, 475, 484, 490, 497, 503, 510, 516, 522, 529, 535]",150.0
point,0.868652,,461,741,479,754,[],"[446, 452, 459, 465, 472, 478, 484, 490, 497, 503, 510, 516, 522, 529, 535]",157.0
semiminim,0.821777,5,450,752,497,769,"[['5', 1.0], ['6', 9.155043e-17], ['11', 2.6795438e-20]]","[446, 452, 459, 465, 472, 478, 484, 490, 497, 503, 510, 516, 522, 529, 535]",144.0
semiminim,0.870117,6,450,769,503,787,"[['6', 1.0], ['5', 5.896724e-11], ['7', 3.594273e-13]]","[446, 452, 459, 465, 472, 478, 484, 490, 496, 502, 509, 515, 521, 528, 534]",147.0
minim,0.848145,5,460,787,520,806,"[['5', 0.999895], ['11', 5.261052e-05], ['6', 4.5425913e-05]]","[446, 452, 459, 465, 472, 478, 484, 490, 496, 502, 509, 515, 521, 528, 534]",148.0
minim,0.830078,4,454,805,514,824,"[['4', 0.9999999], ['3', 8.3750024e-08], ['9', 1.8202606e-08]]","[446, 452, 459, 465, 471, 477, 484, 490, 496, 502, 509, 515, 521, 528, 534]",152.0
semibreve,0.835938,5,459,824,495,845,"[['5', 1.0], ['6', 3.956171e-11], ['4', 3.6290085e-15]]","[445, 451, 458, 464, 471, 477, 484, 490, 496, 502, 509, 515, 521, 528, 534]",151.0
semibreve,0.739746,7,471,843,523,862,"[['7', 0.40871942], ['6', 0.137174], ['2', 0.13028185]]","[445, 451, 458, 464, 471, 477, 483, 489, 496, 502, 509, 515, 521, 528, 534]",147.0
semibreve,0.735352,6,477,857,501,877,"[['6', 0.97262335], ['7', 0.023638355], ['2', 0.001344371]]","[445, 451, 458, 464, 471, 477, 482, 488, 495, 501, 508, 514, 520, 527, 533]",141.0
breve rest,0.749023,,455,879,522,893,[],"[445, 451, 458, 464, 471, 477, 483, 489, 495, 501, 508, 514, 520, 527, 533]",127.0
custos,0.5625,,460,894,503,927,[],"[445, 451, 458, 464, 470, 476, 483, 489, 495, 501, 508, 514, 520, 527, 533]",154.0
