label,"dur_prob,",staff position,ymin,xmin,ymax,xmax,classes_and_prob,correct_staff,foreground
c clef,0.797852,7,432,222,490,240,[0.99],"[587, 595, 604, 612, 622, 630, 637, 645, 654, 662, 674, 682, 690, 699, 707]",149.0
flat,0.327393,4,455,237,484,250,"[['4', 1.0], ['5', 2.1468917e-11], ['9', 1.528487e-11]]","[587, 595, 604, 612, 622, 630, 637, 645, 657, 665, 668, 676, 684, 693, 701]",163.0
Imincut,0.812012,,415,239,467,262,[],"[587, 595, 604, 612, 622, 630, 637, 645, 657, 665, 675, 683, 691, 700, 708]",173.0
fermata,0.205444,,462,252,502,282,[],"[587, 595, 604, 612, 622, 630, 638, 646, 657, 665, 670, 678, 686, 695, 703]",169.0
fermata,0.205444,,462,252,502,282,[],"[587, 595, 604, 612, 622, 630, 637, 645, 653, 661, 670, 678, 686, 695, 703]",164.0
breve rest,0.389648,,419,264,472,275,[],"[587, 595, 604, 612, 622, 630, 637, 645, 657, 665, 674, 682, 690, 699, 707]",151.0
breve,0.774414,4,429,272,455,290,"[['4', 1.0], ['3', 2.1216692e-11], ['5', 2.3546293e-17]]","[587, 595, 604, 612, 618, 626, 637, 645, 657, 665, 674, 682, 690, 699, 707]",160.0
semibreve,0.824219,4,422,287,460,304,"[['4', 0.9858947], ['1', 0.01350091], ['5', 0.000241787]]","[587, 595, 604, 612, 621, 629, 638, 646, 656, 664, 674, 682, 690, 699, 707]",155.0
semibreve,0.816895,4,422,302,457,317,"[['4', 0.8727227], ['1', 0.083513066], ['5', 0.024360538]]","[587, 595, 604, 612, 621, 629, 638, 646, 656, 664, 673, 681, 689, 698, 706]",153.0
semibreve,0.39209,3,400,312,464,327,"[['3', 0.93243253], ['4', 0.049592644], ['7', 0.011583159]]","[587, 595, 604, 612, 621, 629, 637, 645, 656, 664, 673, 681, 689, 698, 706]",153.0
breve,0.504395,6,445,314,465,329,"[['6', 0.9975116], ['7', 0.002488277], ['5', 1.4472523e-07]]","[587, 595, 604, 612, 621, 629, 637, 645, 656, 664, 673, 681, 689, 698, 706]",139.0
semibreve,0.564453,5,437,324,459,339,"[['5', 0.9997489], ['1', 0.00013929998], ['0', 5.147021e-05]]","[587, 595, 604, 612, 621, 629, 637, 645, 656, 664, 673, 681, 689, 698, 706]",130.0
semibreve,0.688477,4,394,335,454,350,"[['4', 0.9910629], ['3', 0.008925573], ['14', 3.290839e-06]]","[586, 594, 603, 611, 621, 629, 638, 646, 654, 662, 673, 681, 689, 698, 706]",167.0
semibreve,0.66748,3,422,345,444,360,"[['3', 0.999951], ['2', 4.6140947e-05], ['4', 2.8634797e-06]]","[588, 596, 605, 613, 619, 627, 638, 646, 654, 662, 673, 681, 689, 698, 706]",131.0
semiminim,0.825195,4,399,360,460,372,"[['4', 0.99999964], ['5', 3.0953524e-07], ['3', 1.09480425e-08]]","[586, 594, 603, 611, 619, 627, 637, 645, 654, 662, 671, 679, 687, 696, 704]",144.0
semiminim,0.740723,5,402,370,465,385,"[['5', 1.0], ['4', 1.0113899e-08], ['11', 2.9800672e-11]]","[586, 594, 603, 611, 619, 627, 636, 644, 654, 662, 671, 679, 687, 696, 704]",141.0
minim,0.817383,6,407,382,474,399,"[['6', 0.99972504], ['7', 0.00023261865], ['12', 4.1874206e-05]]","[586, 594, 603, 611, 619, 627, 636, 644, 654, 662, 671, 679, 687, 696, 704]",148.0
minim,0.82959,7,415,395,479,412,"[['7', 1.0], ['8', 1.14665284e-10], ['3', 1.7535164e-14]]","[583, 591, 600, 608, 620, 628, 636, 644, 653, 661, 671, 679, 687, 696, 704]",144.0
minim,0.838867,5,400,407,465,422,"[['5', 1.0], ['6', 8.857436e-11], ['11', 2.0144959e-11]]","[584, 592, 601, 609, 618, 626, 636, 644, 653, 661, 671, 679, 687, 696, 704]",146.0
minim,0.811523,4,395,422,455,437,"[['4', 1.0], ['3', 4.3514586e-10], ['5', 4.099881e-10]]","[584, 592, 601, 609, 618, 626, 636, 644, 653, 661, 671, 679, 687, 696, 704]",143.0
semibreve,0.786133,6,434,435,470,450,"[['6', 0.99999475], ['5', 3.768466e-06], ['1', 1.3427913e-06]]","[584, 592, 601, 609, 618, 626, 636, 644, 653, 661, 670, 678, 686, 695, 703]",130.0
breve,0.737305,7,445,445,475,462,"[['7', 1.0], ['8', 1.8700781e-08], ['9', 1.5208224e-21]]","[584, 592, 601, 609, 618, 626, 635, 643, 649, 657, 670, 678, 686, 695, 703]",127.0
flat,0.437744,3,424,459,470,474,"[['3', 0.9999958], ['4', 4.12968e-06], ['1', 1.01397015e-08]]","[583, 591, 600, 608, 618, 626, 635, 643, 652, 660, 670, 678, 686, 695, 703]",134.0
semibreve,0.790527,4,420,472,455,487,"[['4', 0.99988425], ['3', 0.000107826076], ['1', 4.1390244e-06]]","[583, 591, 600, 608, 617, 625, 635, 643, 652, 660, 670, 678, 686, 695, 703]",154.0
minim,0.806641,5,405,485,465,500,"[['5', 1.0], ['11', 1.3382469e-12], ['6', 2.6559677e-14]]","[583, 591, 600, 608, 617, 625, 635, 643, 652, 660, 670, 678, 686, 695, 703]",163.0
semibreve,0.799316,2,415,495,450,512,"[['2', 0.99828976], ['3', 0.0016591259], ['1', 5.0522925e-05]]","[583, 591, 600, 608, 617, 625, 633, 641, 652, 660, 670, 678, 686, 695, 703]",152.0
semibreve,0.327637,5,450,500,480,517,"[['5', 0.7387025], ['4', 0.25433907], ['9', 0.005010672]]","[583, 591, 600, 608, 617, 625, 633, 641, 652, 660, 670, 678, 686, 695, 703]",188.0
