label,"dur_prob,",staff position,ymin,xmin,ymax,xmax,classes_and_prob,correct_staff,foreground
c clef,0.828125,7,1011,309,1080,332,[0.99],"[1011, 1016, 1022, 1027, 1030, 1035, 1042, 1047, 1052, 1057, 1063, 1068, 1073, 1079, 1084]",144.0
flat,0.750488,3,1014,327,1067,344,"[['3', 0.97429436], ['7', 0.02557657], ['8', 0.00011873698]]","[1011, 1016, 1022, 1027, 1030, 1035, 1042, 1047, 1052, 1057, 1063, 1068, 1073, 1079, 1084]",154.0
minim,0.640137,3,1007,343,1069,366,"[['3', 0.99999964], ['4', 2.797266e-07], ['8', 1.8903645e-08]]","[1007, 1012, 1018, 1023, 1030, 1035, 1042, 1047, 1052, 1057, 1062, 1067, 1072, 1078, 1083]",142.0
minim,0.812988,6,1021,368,1083,389,"[['6', 0.9982889], ['7', 0.0017107807], ['12', 2.3289678e-07]]","[1007, 1012, 1018, 1023, 1030, 1035, 1042, 1047, 1052, 1057, 1062, 1067, 1072, 1078, 1083]",150.0
flat,0.825195,5,1013,387,1050,401,"[['5', 0.9997129], ['6', 0.0002838773], ['11', 2.0560735e-06]]","[1007, 1012, 1018, 1023, 1030, 1035, 1042, 1047, 1052, 1057, 1063, 1068, 1073, 1079, 1084]",170.0
semibreve,0.871094,5,1014,401,1058,426,"[['5', 0.996757], ['6', 0.0032133341], ['1', 2.167702e-05]]","[1008, 1013, 1019, 1024, 1030, 1035, 1042, 1047, 1053, 1058, 1063, 1068, 1073, 1079, 1084]",136.0
minim,0.836914,6,1020,432,1084,453,"[['6', 0.99991], ['7', 8.986526e-05], ['12', 1.06218636e-07]]","[1008, 1013, 1019, 1024, 1030, 1035, 1042, 1047, 1053, 1058, 1063, 1068, 1073, 1079, 1084]",144.0
point,0.821777,,1028,446,1053,464,[],"[1008, 1013, 1019, 1024, 1030, 1035, 1042, 1047, 1053, 1058, 1063, 1068, 1073, 1079, 1084]",132.0
semiminim,0.852539,7,1010,467,1070,487,"[['7', 0.9722446], ['8', 0.027724788], ['3', 2.3072711e-05]]","[1008, 1013, 1019, 1024, 1031, 1036, 1042, 1047, 1053, 1058, 1063, 1068, 1073, 1079, 1084]",140.0
minim,0.873047,8,1010,491,1072,513,"[['8', 0.8517081], ['7', 0.14828403], ['3', 5.0702715e-06]]","[1008, 1013, 1019, 1024, 1031, 1036, 1042, 1047, 1053, 1058, 1063, 1068, 1073, 1079, 1084]",153.0
minim,0.857422,8,1009,517,1069,540,"[['8', 0.9945162], ['7', 0.005478981], ['3', 4.604928e-06]]","[1009, 1014, 1020, 1025, 1031, 1036, 1042, 1047, 1054, 1059, 1064, 1069, 1074, 1080, 1085]",148.0
semibreve,0.867676,7,1021,543,1064,569,"[['7', 0.9575514], ['1', 0.04242118], ['6', 2.3394705e-05]]","[1009, 1014, 1020, 1025, 1032, 1037, 1044, 1049, 1054, 1059, 1064, 1069, 1074, 1080, 1085]",151.0
minim,0.852539,6,1024,573,1087,595,"[['6', 0.72038317], ['7', 0.27953312], ['12', 5.9355738e-05]]","[1010, 1015, 1021, 1026, 1033, 1038, 1044, 1049, 1055, 1060, 1065, 1070, 1075, 1081, 1086]",148.0
point,0.849121,,1034,588,1057,606,[],"[1011, 1016, 1022, 1027, 1034, 1039, 1045, 1050, 1056, 1061, 1067, 1072, 1077, 1083, 1088]",141.0
semiminim,0.858887,10,1020,604,1083,624,"[['10', 0.99982977], ['9', 0.0001067215], ['11', 5.8663223e-05]]","[1012, 1017, 1023, 1028, 1033, 1038, 1046, 1051, 1057, 1062, 1067, 1072, 1077, 1083, 1088]",146.0
semibreve,0.864746,8,1030,624,1074,650,"[['8', 0.59143233], ['7', 0.40788385], ['1', 0.0006806056]]","[1012, 1017, 1023, 1028, 1035, 1040, 1047, 1052, 1057, 1062, 1068, 1073, 1078, 1084, 1089]",151.0
semibreve,0.808105,10,1049,648,1090,673,"[['10', 0.99975616], ['11', 0.00024389867], ['12', 1.7625826e-08]]","[1013, 1018, 1024, 1029, 1035, 1040, 1048, 1053, 1058, 1063, 1069, 1074, 1079, 1085, 1090]",151.0
semibreve rest,0.767578,,1023,674,1085,686,[],"[1013, 1018, 1024, 1029, 1036, 1041, 1048, 1053, 1059, 1064, 1069, 1074, 1079, 1085, 1090]",175.0
semibreve,0.859863,8,1033,685,1075,711,"[['8', 0.5755858], ['7', 0.42441356], ['1', 5.669588e-07]]","[1014, 1019, 1025, 1030, 1037, 1042, 1049, 1054, 1060, 1065, 1070, 1075, 1080, 1086, 1091]",146.0
minim,0.842773,8,1018,717,1079,739,"[['8', 0.99603736], ['9', 0.0039626393], ['7', 1.2680359e-08]]","[1014, 1019, 1025, 1030, 1037, 1042, 1049, 1054, 1060, 1065, 1071, 1076, 1081, 1087, 1092]",152.0
minim,0.829102,5,1022,739,1086,761,"[['5', 0.9998797], ['11', 9.614776e-05], ['6', 2.3260483e-05]]","[1015, 1020, 1026, 1031, 1038, 1043, 1050, 1055, 1061, 1066, 1071, 1076, 1081, 1087, 1092]",153.0
minim,0.835938,6,1030,764,1087,784,"[['6', 1.0], ['7', 4.911571e-09], ['5', 9.610133e-10]]","[1015, 1020, 1026, 1031, 1038, 1043, 1050, 1055, 1061, 1066, 1071, 1076, 1081, 1087, 1092]",156.0
semibreve,0.833496,7,1035,784,1074,806,"[['7', 0.9999801], ['8', 1.9899866e-05], ['3', 9.010111e-09]]","[1015, 1020, 1026, 1031, 1038, 1043, 1050, 1055, 1061, 1066, 1071, 1076, 1081, 1087, 1092]",152.0
semibreve,0.14563,9,1051,803,1076,818,"[['9', 0.59249365], ['8', 0.33654678], ['13', 0.0230316]]","[1014, 1019, 1025, 1030, 1038, 1043, 1049, 1054, 1060, 1065, 1071, 1076, 1081, 1087, 1092]",171.0
