label,"dur_prob,",staff position,ymin,xmin,ymax,xmax,classes_and_prob,correct_staff,foreground
c clef,0.754883,9,179,311,245,333,[0.99],"[165, 170, 176, 181, 187, 192, 198, 203, 208, 213, 218, 223, 228, 234, 239]",155.0
flat,0.797852,3,159,327,197,344,"[['3', 0.9999999], ['7', 1.3019135e-07], ['12', 1.5547464e-08]]","[165, 170, 176, 181, 187, 192, 199, 204, 209, 214, 219, 224, 229, 235, 240]",161.0
flat,0.782227,10,194,328,232,343,"[['10', 0.99992514], ['11', 7.2623676e-05], ['4', 1.1290433e-06]]","[165, 170, 176, 181, 187, 192, 199, 204, 209, 214, 219, 224, 229, 235, 240]",166.0
Imincut,0.806152,,169,341,237,375,[],"[166, 171, 177, 182, 188, 193, 199, 204, 209, 214, 219, 224, 229, 235, 240]",157.0
longa rest,0.746582,,172,372,238,385,[],"[167, 172, 178, 183, 189, 194, 200, 205, 210, 215, 221, 226, 231, 237, 242]",158.0
longa rest,0.745605,,174,383,236,395,[],"[168, 173, 179, 184, 190, 195, 201, 206, 211, 216, 221, 226, 231, 237, 242]",158.0
breve rest,0.791992,,172,394,237,407,[],"[168, 173, 179, 184, 190, 195, 201, 206, 211, 216, 221, 226, 231, 237, 242]",159.0
breve,0.872559,6,182,410,219,438,"[['6', 1.0], ['5', 5.0406624e-13], ['7', 1.6418534e-17]]","[169, 174, 180, 185, 191, 196, 202, 207, 212, 217, 222, 227, 232, 238, 243]",160.0
semibreve,0.855469,5,177,440,219,464,"[['5', 0.99955255], ['6', 0.00044742544], ['2', 1.5651674e-08]]","[169, 174, 180, 185, 191, 196, 203, 208, 213, 218, 223, 228, 233, 239, 244]",151.0
semibreve,0.830566,4,170,467,213,489,"[['4', 0.9956102], ['5', 0.0043844227], ['0', 2.5162103e-06]]","[170, 175, 181, 186, 192, 197, 204, 209, 213, 218, 223, 228, 233, 239, 244]",162.0
point,0.807617,,180,480,203,497,[],"[171, 176, 182, 187, 192, 197, 204, 209, 214, 219, 224, 229, 234, 240, 245]",155.0
minim,0.852539,4,172,499,238,521,"[['4', 0.9999888], ['5', 1.0815399e-05], ['3', 1.6492946e-07]]","[171, 176, 182, 187, 193, 198, 205, 210, 215, 220, 225, 230, 235, 241, 246]",158.0
semibreve,0.86377,4,171,524,213,548,"[['4', 0.9365453], ['5', 0.06293592], ['1', 0.00037223025]]","[173, 178, 184, 189, 194, 199, 206, 211, 216, 221, 226, 231, 236, 242, 247]",159.0
semibreve,0.84375,4,175,548,214,573,"[['4', 0.9992447], ['5', 0.0007516592], ['3', 2.063245e-06]]","[174, 179, 185, 190, 195, 200, 207, 212, 217, 222, 227, 232, 237, 243, 248]",167.0
breve,0.869629,3,173,574,212,603,"[['3', 0.99439806], ['4', 0.0056018704], ['8', 5.0451424e-13]]","[175, 180, 186, 191, 197, 202, 208, 213, 218, 223, 228, 233, 238, 244, 249]",154.0
breve,0.868164,4,180,605,216,633,"[['4', 1.0], ['5', 1.1964176e-13], ['3', 2.5587372e-23]]","[177, 182, 188, 193, 198, 203, 209, 214, 219, 224, 229, 234, 239, 245, 250]",168.0
minim rest,0.76416,,180,636,246,650,[],"[178, 183, 189, 194, 199, 204, 210, 215, 220, 225, 230, 235, 240, 246, 251]",176.0
minim,0.843262,4,181,663,243,684,"[['4', 0.9997069], ['3', 0.00017114854], ['11', 0.00010734447]]","[178, 183, 189, 194, 200, 205, 211, 216, 221, 226, 231, 236, 241, 247, 252]",157.0
custos,0.103333,,152,686,229,749,[],"[178, 183, 189, 194, 200, 205, 211, 216, 221, 226, 231, 236, 241, 247, 252]",188.0
custos,0.456055,,178,689,220,722,[],"[179, 184, 190, 195, 200, 205, 211, 216, 221, 226, 231, 236, 241, 247, 252]",166.0
